cargo,experiencia,minimo,midpoint,maximo,spread,n_amostra
Data Scientist,Entry,33197.0,51321.0,88351.5,1.074696517994583,23
Data Scientist,Mid,44869.25,78916.5,119294.25,0.9430854130631744,64
Data Scientist,Senior,120080.0,146000.0,187550.0,0.4621232876712329,71
Data Scientist,Executive,130006.5,171437.5,233750.0,0.6051388990156763,26
Data Engineer,Entry,36058.5,54742.0,67506.5,0.5744766358554675,15
Data Engineer,Mid,57447.0,78526.0,102351.0,0.5718360797697578,59
Data Engineer,Senior,110500.0,145000.0,165400.0,0.3786206896551724,77
Data Engineer,Executive,159093.5,216000.0,283000.0,0.5736412037037038,7
Data Analyst,Entry,50000.0,59102.0,80000.0,0.5075970356333119,17
Data Analyst,Mid,43966.0,65438.0,93000.0,0.7493199669916563,41
Data Analyst,Senior,90320.0,111912.5,130000.0,0.354562716407908,58
Data Analyst,Executive,130006.5,171437.5,233750.0,0.6051388990156763,26
Machine Learning Engineer,Entry,24823.0,81000.0,125000.0,1.2367530864197531,9
Machine Learning Engineer,Mid,47110.75,80712.5,91030.0,0.5441443394765371,12
Machine Learning Engineer,Senior,71444.0,120000.0,189650.0,0.98505,21
Machine Learning Engineer,Executive,130006.5,171437.5,233750.0,0.6051388990156763,26
Research Scientist,Entry,27505.0,56500.0,85425.75,1.025146017699115,88
Research Scientist,Mid,63229.5,64849.0,128720.5,1.009899921355765,7
Research Scientist,Senior,60757.0,93427.0,96113.0,0.3784344996628384,5
Research Scientist,Executive,130006.5,171437.5,233750.0,0.6051388990156763,26
Data Science Manager,Entry,27505.0,56500.0,85425.75,1.025146017699115,88
Data Science Manager,Mid,48000.0,76940.0,112000.0,0.8318170002599428,213
Data Science Manager,Senior,138855.75,152250.0,170835.5,0.21004761904761904,10
Data Science Manager,Executive,130006.5,171437.5,233750.0,0.6051388990156763,26
Data Architect,Entry,27505.0,56500.0,85425.75,1.025146017699115,88
Data Architect,Mid,48000.0,76940.0,112000.0,0.8318170002599428,213
Data Architect,Senior,144854.0,192400.0,208775.0,0.33222972972972975,9
Data Architect,Executive,130006.5,171437.5,233750.0,0.6051388990156763,26
Big Data Engineer,Entry,27505.0,56500.0,85425.75,1.025146017699115,88
Big Data Engineer,Mid,48000.0,76940.0,112000.0,0.8318170002599428,213
Big Data Engineer,Senior,100000.0,135500.0,170000.0,0.5166051660516605,280
Big Data Engineer,Executive,130006.5,171437.5,233750.0,0.6051388990156763,26
Machine Learning Scientist,Entry,27505.0,56500.0,85425.75,1.025146017699115,88
Machine Learning Scientist,Mid,56700.0,112300.0,156500.0,0.8886910062333037,7
Machine Learning Scientist,Senior,100000.0,135500.0,170000.0,0.5166051660516605,280
Machine Learning Scientist,Executive,130006.5,171437.5,233750.0,0.6051388990156763,26
Data Analytics Manager,Entry,27505.0,56500.0,85425.75,1.025146017699115,88
Data Analytics Manager,Mid,48000.0,76940.0,112000.0,0.8318170002599428,213
Data Analytics Manager,Senior,114640.0,120000.0,142500.0,0.23216666666666666,7
Data Analytics Manager,Executive,130006.5,171437.5,233750.0,0.6051388990156763,26
